Time,Rack1,Rack2,Rack3,Rack4,Rack5,Rack6,Rack7,Rack8,Rack9,Rack10,Rack11,Rack12,Rack13,Rack14,Rack15,Rack16,Rack17,Rack18,Rack19,Rack20
23400,11.85649159,13.73841856,16.15143815,12.71028098,11.89071588,17.38618381,8.542228582,13.11557521,15.52083662,14.54188756,12.39325394,13.40093243,16.7659339,15.22019625,16.1509957,16.10965477,17.24431944,19.57273181,17.27382656,19.58825339
23700,11.89781026,13.88294185,16.44220232,12.99006704,12.08626946,17.73287349,8.540338987,13.11599675,15.51632212,14.53305288,12.58029124,13.34866066,16.76562537,15.2192463,16.1509957,16.11181598,17.24555065,19.57100082,17.26367742,19.53293031
24000,11.93912893,14.02746513,16.73296649,13.26985309,12.28182304,18.07956318,8.538449393,13.11641828,15.51180763,14.5242182,12.76732853,13.29638889,16.76531685,15.21829634,16.1509957,16.11397719,17.24678186,19.56926982,17.25352829,19.47760723
24300,11.9804476,14.17198842,17.02373066,13.54963915,12.47737662,18.42625287,8.536559798,13.11683981,15.50729313,14.51538351,12.95436583,13.24411712,16.76500832,15.21734638,16.1509957,16.1161384,17.24801307,19.56753883,17.24337915,19.42228415
24600,12.02176628,14.31651171,17.31449484,13.82942521,12.6729302,18.77294256,8.534670203,13.11726135,15.50277864,14.50654883,13.14140313,13.19184536,16.76469979,15.21639643,16.1509957,16.11829961,17.24924428,19.56580783,17.23323002,19.36696106
24900,12.06308495,14.461035,17.60525901,14.10921127,12.86848379,19.11963225,8.532780608,13.11768288,15.49826414,14.49771415,13.32844042,13.13957359,16.76439127,15.21544647,16.1509957,16.12046081,17.25047549,19.56407684,17.22308089,19.31163798
25200,12.10440362,14.60555829,17.89602318,14.38899733,13.06403737,19.46632194,8.530891013,13.11810441,15.49374964,14.48887946,13.51547772,13.08730182,16.76408274,15.21449652,16.1509957,16.12262202,17.2517067,19.56234584,17.21293175,19.2563149
25500,12.1457223,14.75008157,18.18678735,14.66878339,13.25959095,19.81301163,8.529001418,13.11852594,15.48923515,14.48004478,13.70251502,13.03503005,16.76377421,15.21354656,16.1509957,16.12478323,17.25293791,19.56061485,17.20278262,19.20099182
25800,12.18704097,14.89460486,18.47755152,14.94856945,13.45514453,20.15970132,8.527111823,13.11894748,15.48472065,14.4712101,13.88955232,12.98275829,16.76346569,15.2125966,16.1509957,16.12694444,17.25416912,19.55888386,17.19263348,19.14566874
26100,12.22835964,15.03912815,18.76831569,15.22835551,13.65069811,20.50639101,8.525222228,13.11936901,15.48020616,14.46237542,14.07658961,12.93048652,16.76315716,15.21164665,16.1509957,16.12910565,17.25540033,19.55715286,17.18248435,19.09034565
26400,12.26967832,15.18365144,19.05907986,15.50814157,13.84625169,20.8530807,8.523332634,13.11979054,15.47569166,14.45354073,14.26362691,12.87821475,16.76284864,15.21069669,16.1509957,16.13126686,17.25663154,19.55542187,17.17233521,19.03502257
26700,12.31099699,15.32817472,19.34984403,15.78792763,14.04180527,21.19977039,8.521443039,13.12021208,15.47117717,14.44470605,14.45066421,12.82594298,16.76254011,15.20974674,16.1509957,16.13342807,17.25786275,19.55369087,17.16218608,18.97969949
27000,12.35231566,15.47269801,19.64060821,16.06771369,14.23735885,21.54646008,8.519553444,13.12063361,15.46666267,14.43587137,14.6377015,12.77367121,16.76223158,15.20879678,16.1509957,16.13558928,17.25909396,19.55195988,17.15203695,18.92437641
27300,12.39363433,15.6172213,19.93137238,16.34749975,14.43291243,21.89314977,8.517663849,13.12105514,15.46214817,14.42703669,14.8247388,12.72139945,16.76192306,15.20784682,16.1509957,16.13775049,17.26032517,19.55022888,17.14188781,18.86905333
27600,12.43495301,15.76174459,20.22213655,16.62728581,14.62846602,22.23983946,8.515774254,13.12147668,15.45763368,14.418202,15.0117761,12.66912768,16.76161453,15.20689687,16.1509957,16.1399117,17.26155638,19.54849789,17.13173868,18.81373024
27900,12.47627168,15.90626788,20.51290072,16.90707186,14.8240196,22.58652915,8.513884659,13.12189821,15.45311918,14.40936732,15.19881339,12.61685591,16.761306,15.20594691,16.1509957,16.14207291,17.26278759,19.54676689,17.12158954,18.75840716
28200,12.51759035,16.05079116,20.80366489,17.18685792,15.01957318,22.93321883,8.511995064,13.12231974,15.44860469,14.40053264,15.38585069,12.56458414,16.76099748,15.20499695,16.1509957,16.14423412,17.2640188,19.5450359,17.11144041,18.70308408
28500,12.55890903,16.19531445,21.09442906,17.46664398,15.21512676,23.27990852,8.510105469,13.12274127,15.44409019,14.39169796,15.57288799,12.51231238,16.76068895,15.204047,16.1509957,16.14639533,17.26525001,19.5433049,17.10129127,18.647761
28800,12.6002277,16.33983774,21.38519323,17.74643004,15.41068034,23.62659821,8.508215875,13.12316281,15.43957569,14.38286327,15.75992529,12.46004061,16.76038043,15.20309704,16.1509957,16.14855654,17.26648121,19.54157391,17.09114214,18.59243791
29100,12.64154637,16.48436103,21.6759574,18.0262161,15.60623392,23.9732879,8.50632628,13.12358434,15.4350612,14.37402859,15.94696258,12.40776884,16.7600719,15.20214709,16.1509957,16.15071775,17.26771242,19.53984292,17.08099301,18.53711483
29400,12.68286504,16.62888431,21.96672157,18.30600216,15.8017875,24.31997759,8.504436685,13.12400587,15.4305467,14.36519391,16.13399988,12.35549707,16.75976337,15.20119713,16.1509957,16.15287896,17.26894363,19.53811192,17.07084387,18.48179175
29700,12.72418372,16.7734076,22.25748575,18.58578822,15.99734108,24.66666728,8.50254709,13.12442741,15.42603221,14.35635923,16.32103718,12.30322531,16.75945485,15.20024717,16.1509957,16.15504016,17.27017484,19.53638093,17.06069474,18.42646867
30000,12.76550239,16.91793089,22.54824992,18.86557428,16.19289466,25.01335697,8.500657495,13.12484894,15.42151771,14.34752454,16.50807447,12.25095354,16.75914632,15.19929722,16.1509957,16.15720137,17.27140605,19.53464993,17.0505456,18.37114559
30300,12.75819433,16.79488295,22.2690371,18.60063401,16.00670161,24.67560062,8.500657495,13.12400587,15.4296438,14.35017495,16.32103718,12.28967337,16.75914632,15.19929722,16.1509957,16.15504016,17.27017484,19.53412311,17.0505456,18.38926309
30600,12.75088626,16.67183501,21.98982429,18.33569374,15.82050855,24.33784428,8.500657495,13.12316281,15.4377699,14.35282535,16.13399988,12.32839319,16.75914632,15.19929722,16.1509957,16.15287896,17.26894363,19.53359628,17.0505456,18.40738059
30900,12.7435782,16.54878707,21.71061148,18.07075347,15.6343155,24.00008793,8.500657495,13.12231974,15.44589599,14.35547576,15.94696258,12.36711302,16.75914632,15.19929722,16.1509957,16.15071775,17.26771242,19.53306946,17.0505456,18.42549809
